NBC,BOX NO.,REV,6 DIGIT,LENGTH,WIDTH,DEPTH,STYLE,TEST,PRINTING,COMENT,PZS X HOJA,MEDIDA CORTE A CORTE,ANCHO  CM,LARGO CM,TAPA CM,ALTURA CM,FONDO CM,MATERIAL,OUT/LENGTH,OUT/WIDTH,OUT/DEPTH,CUBE/1,CUBE/12,CUBE/6,CUBE/4,GIR&LNTH/84,SQ FT OF ITEM,LB PER SQ FT,ITEM WT/LB,T/B FLAT DIM,L/R FLAT DIM
NBC111,10,NA,602117,6,6,8.0625,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,6.25,6.25,8.5625,0.194,0.016,0.032,0.048,35.875,2.6459,0.122,0.3228,15.0625,12
NBC111,159,NA,25137,24.25,21.75,12.0625,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 720442,NA,NA,NA,NA,NA,NA,NA,NA,24.5,22,12.5625,3.919,0.327,0.653,0.98,93.625,22.4307,0.122,2.7365,34.8125,46
NBC111,3702,NA,25138,24.3125,16.25,24.375,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 2210156,NA,NA,NA,NA,NA,NA,NA,NA,24.5625,16.5,24.875,5.834,0.486,0.972,1.459,107.313,23.8126,0.122,2.9051,41.625,40.5625
NBC111,631,NA,25139,18.5625,18.5625,2.4375,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 720424,NA,NA,NA,NA,NA,NA,NA,NA,18.8125,18.8125,2.9375,0.602,0.05,0.1,0.15,62.313,11.3914,0.122,1.3897,22,37.125
NBC111,31,NA,25140,19.125,15.0625,9.4375,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 127337,NA,NA,NA,NA,NA,NA,NA,NA,19.375,15.3125,9.9375,1.706,0.142,0.284,0.427,69.875,12.251,0.122,1.4946,25.5,34.1875
NBC111,45,NA,600430,11,9.6875,11.4375,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,11.25,9.9375,11.9375,0.772,0.064,0.129,0.193,55,6.5408,0.122,0.798,22.125,20.6875
NBC111,2788,NA,25141,11.4375,9.5625,9.3125,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 706038,NA,NA,NA,NA,NA,NA,NA,NA,11.6875,9.8125,9.8125,0.651,0.054,0.109,0.163,50.938,5.9454,0.122,0.7253,19.875,21
NBC111,2930,NA,600487,8.875,8.875,16.3125,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,9.125,9.125,16.8125,0.81,0.068,0.135,0.203,61,6.7204,0.122,0.8199,26.1875,17.75
NBC111,925,NA,25142,18.1875,6.5625,6.3125,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX as 6 DIGIT 720769,NA,NA,NA,NA,NA,NA,NA,NA,18.4375,6.8125,6.8125,0.495,0.041,0.083,0.124,45.688,4.8373,0.122,0.5902,13.875,24.75
NBC111,3549,NA,600433,17.6875,14.4375,14.25,RSC,200 OR 32ECT,PLAIN,Spec provided by QMX,NA,NA,NA,NA,NA,NA,NA,NA,17.9375,14.6875,14.75,2.249,0.187,0.375,0.562,76.813,13.4669,0.122,1.643,29.6875,32.125
